game_pk,game_date,home_team,away_team,delta_home_win_exp
41580,2006-08-05,CHC,PIT,2.777
41543,2006-08-02,KC,CWS,2.734
41613,2006-08-07,OAK,TEX,2.724
41586,2006-08-05,NYM,PHI,2.72
41559,2006-08-03,PIT,ATL,2.688
41591,2006-08-05,TB,BOS,2.68
41611,2006-08-07,DET,MIN,2.636
41574,2006-08-04,SEA,OAK,2.586
41587,2006-08-05,SD,WSH,2.5
41607,2006-08-06,TOR,CWS,2.5
41608,2006-08-07,AZ,SF,2.46
41572,2006-08-04,SD,WSH,2.419
41539,2006-08-03,CHC,AZ,2.376
41617,2006-08-08,ATL,PHI,2.306
41609,2006-08-07,ATL,PHI,2.296
41619,2006-08-08,CIN,STL,2.292
41548,2006-08-02,SD,HOU,2.2439999999999998
41550,2006-08-02,STL,PHI,2.23
40453,2006-08-07,CWS,LAA,2.222
41603,2006-08-06,SF,COL,2.202
41589,2006-08-05,SEA,OAK,2.178
41570,2006-08-04,LAA,TEX,2.134
41594,2006-08-06,BAL,NYY,2.092
41622,2006-08-08,HOU,PIT,2.009
41625,2006-08-08,MIL,CHC,2.006
41554,2006-08-03,CIN,LAD,1.984
41615,2006-08-07,TOR,BAL,1.972
41540,2006-08-02,CIN,LAD,1.958
41568,2006-08-04,MIA,LAD,1.915
41549,2006-08-02,SF,WSH,1.8840000000000001
41573,2006-08-04,SF,COL,1.841
41560,2006-08-03,SD,HOU,1.796
41561,2006-08-03,STL,PHI,1.764
41546,2006-08-02,NYY,TOR,1.71
41545,2006-08-02,MIN,TEX,1.548
41558,2006-08-03,NYY,TOR,1.528
41595,2006-08-06,CHC,PIT,1.524
41605,2006-08-06,STL,MIL,1.518
41584,2006-08-05,KC,MIN,1.46
41592,2006-08-05,TOR,CWS,1.458
41616,2006-08-08,AZ,SF,1.454
41612,2006-08-07,LAD,COL,1.406
41565,2006-08-04,CHC,PIT,1.372
41585,2006-08-05,LAA,TEX,1.346
41579,2006-08-05,BAL,NYY,1.334
41578,2006-08-05,AZ,HOU,1.328
41601,2006-08-06,NYM,PHI,1.25
41583,2006-08-05,MIA,LAD,1.1520000000000001
41553,2006-08-03,CHC,AZ,1.089
41556,2006-08-03,KC,MIN,1.04
41541,2006-08-02,COL,MIL,1.016
41610,2006-08-07,CIN,STL,0.894
41600,2006-08-06,LAA,TEX,0.778
41716,2006-08-15,HOU,CHC,8.884
41668,2006-08-11,PHI,CIN,7.953
41715,2006-08-15,COL,AZ,7.756
41698,2006-08-13,PHI,CIN,5.047
41683,2006-08-12,PHI,CIN,4.58
41651,2006-08-10,LAD,COL,4.502
41638,2006-08-09,KC,BOS,4.478
41634,2006-08-09,CIN,STL,4.294
41722,2006-08-15,PIT,MIL,4.155
41726,2006-08-15,TEX,LAA,4.124
41656,2006-08-10,WSH,MIA,4.092
41676,2006-08-12,CLE,KC,3.996
41692,2006-08-13,COL,CHC,3.966
41725,2006-08-15,TB,TOR,3.858
41631,2006-08-09,AZ,SF,3.842
41708,2006-08-14,OAK,SEA,3.842
41636,2006-08-09,DET,MIN,3.82
41674,2006-08-12,BOS,BAL,3.814
41713,2006-08-15,BOS,DET,3.671
41719,2006-08-15,NYY,BAL,3.658
41704,2006-08-14,COL,AZ,3.64
41650,2006-08-10,KC,BOS,3.576
41711,2006-08-14,SD,SF,3.478
41689,2006-08-13,BOS,BAL,3.324
41639,2006-08-09,LAD,COL,3.314
41661,2006-08-11,CLE,KC,3.279
41679,2006-08-12,LAD,SF,3.228
41684,2006-08-12,PIT,STL,3.19
41688,2006-08-13,ATL,MIL,3.146
40511,2006-08-12,CLE,KC,3.096
41646,2006-08-10,CWS,NYY,3.088
41664,2006-08-11,LAD,SF,3.076
41723,2006-08-15,SD,SF,3.032
41687,2006-08-13,AZ,MIA,3.022
41701,2006-08-13,WSH,NYM,2.886
41632,2006-08-09,ATL,PHI,2.844
41706,2006-08-14,LAD,MIA,2.812
41649,2006-08-10,HOU,PIT,2.802
41694,2006-08-13,LAD,SF,2.784
41645,2006-08-09,WSH,MIA,2.724
41658,2006-08-11,ATL,MIL,2.701
41707,2006-08-14,NYY,LAA,2.692
41714,2006-08-15,CWS,KC,2.6919999999999997
41671,2006-08-11,WSH,NYM,2.686
41686,2006-08-12,WSH,NYM,2.684
41654,2006-08-10,NYM,SD,2.668
41667,2006-08-11,OAK,TB,2.658
41672,2006-08-12,AZ,MIA,2.592
41705,2006-08-14,HOU,CHC,2.538
41675,2006-08-12,CWS,DET,2.517
41663,2006-08-11,HOU,SD,2.492
